city_name,latitude,temperature_Kelvin,humidity,cloudiness,wind_speed
Busselton,-33.64,281.47,57,1,8.16
Albany,42.65,293.39,73,20,3.6
Butaritari,3.07,301.7,76,71,6.02
East London,-33.02,292.15,68,0,4.1
Ponta do Sol,-20.63,292.6,50,0,0.42
Rikitea,-23.12,296.5,85,1,6.43
Khatanga,71.98,286.5,58,100,2.59
Puerto Ayora,-0.74,293.68,83,20,3.6
Qaanaaq,77.48,280.8,50,33,5.9
Bluff,-23.58,289.3,61,72,4.74
Okhotsk,59.36,284.1,97,23,3.47
Punta Arenas,-53.16,277.11,100,90,7.7
De-Kastri,51.48,285.8,93,31,1.67
Hobart,-42.88,278.23,60,20,4.6
Kapaa,22.08,296.93,78,20,6.7
Hilo,19.71,293.33,60,1,2.6
Hervey Bay,-25.3,289.77,44,83,3.6
Leh,34.16,282.7,42,89,1.11
Pisco,-13.71,291.55,30,90,2.1
Xixiang,22.58,302.52,74,20,4.1
Ancud,-41.87,279.15,93,0,4.1
Tan An,10.54,305.15,62,40,4.1
Bud,62.91,285.93,76,75,4.1
Arlit,18.74,311.3,21,0,2.55
Cabo San Lucas,22.89,297.86,65,5,1.5
Fukue,35.03,296.45,88,75,5.7
Ushuaia,-54.81,277.71,86,75,1.5
Jamestown,-33.21,278.5,92,38,1.73
Arman,59.7,291.5,70,24,0.46
Sheridan,39.65,290.0,59,20,2.6
Dikson,73.51,273.5,94,100,3.54
Georgetown,6.8,300.07,83,75,6.2
Karratha,-20.74,293.5,25,0,2.16
Kaitangata,-46.28,284.82,61,98,0.89
Hermanus,-34.42,292.59,68,0,1.79
Slave Lake,55.28,285.15,93,75,1.0
Boa Vista,2.82,300.15,78,20,4.1
Port Hardy,50.7,287.15,100,90,1.0
Sfantu Gheorghe,44.65,300.25,39,0,3.1
Ust-Kuyga,70.0,284.7,60,61,5.31
Rocha,-34.48,283.7,88,76,4.19
Talnakh,69.49,283.15,100,75,3.0
Taoudenni,22.68,320.1,5,0,7.95
Avarua,-21.21,294.15,83,99,2.1
Maningrida,-12.05,294.7,49,100,4.42
Ribeira Grande,38.52,297.15,83,75,3.1
Atuona,-9.8,299.3,81,61,6.24
Nikki,9.94,300.5,73,83,2.74
Alofi,-19.06,294.15,94,25,3.1
Henties Bay,-22.12,286.48,91,0,2.68
Lhokseumawe,5.18,296.5,94,54,0.42
Luganville,-15.51,298.15,83,75,4.6
Vaini,15.34,299.15,78,75,4.1
Cape Town,-33.93,291.43,55,0,1.0
Hay River,60.82,282.15,93,40,2.6
Port Elizabeth,39.31,297.59,73,1,2.1
Belyy Yar,53.6,294.15,73,0,2.0
Barrow,-38.31,277.8,72,0,1.86
Alta Floresta,-9.87,300.15,65,0,2.1
Sao Filipe,14.9,296.0,82,38,7.46
Half Moon Bay,37.46,286.27,100,90,2.6
Rome,41.89,301.69,54,40,4.1
Yellowknife,62.45,279.99,87,20,2.1
Boysun,38.2,302.0,17,21,6.24
Yumen,40.29,299.5,29,35,5.98
Amapa,15.09,298.15,88,40,2.6
Hofn,64.25,286.15,87,90,3.1
Victoria,5.28,297.62,83,75,2.1
Okato,-39.19,285.93,97,100,6.26
Vostok,46.45,290.4,71,99,1.49
Seymchan,62.93,292.4,64,95,2.24
Mataura,-46.19,280.93,96,100,0.89
Beyneu,45.32,314.2,19,28,4.28
Dongying,37.43,303.3,46,15,3.66
Tianmen,30.65,297.8,85,63,2.68
Lavrentiya,65.58,286.5,56,56,2.38
Yar-Sale,66.83,292.4,43,70,3.01
Torbay,47.66,287.13,72,75,2.6
Upernavik,72.79,280.3,85,84,3.84
Oktyabrskiy,55.61,290.55,55,0,2.0
Iquique,-20.22,288.15,72,90,2.1
Madawaska,47.36,292.04,88,90,3.1
Batang Berjuntai,3.38,301.56,79,75,1.23
Tateyama,36.66,295.42,88,75,0.5
Port Alfred,-33.59,291.48,81,0,1.34
Kruisfontein,-34.0,290.9,60,0,2.02
Faanui,-16.48,298.5,73,0,2.69
Bambous Virieux,-20.34,296.51,57,75,4.1
Sunbury,-37.58,279.19,81,20,5.7
Nieuw Amsterdam,5.88,300.22,78,20,4.1
Bethel,60.79,285.91,100,90,2.1
Oeiras do Para,-2.0,298.1,92,31,1.26
Klaksvik,62.23,285.15,93,79,3.6
Lasa,34.92,302.31,66,75,5.1
Saldanha,41.42,304.7,28,61,3.32
Kavieng,-2.57,300.9,83,97,7.1
Tiarei,-17.53,296.03,83,40,1.5
Evensk,61.92,285.4,88,0,1.08
College,64.86,288.32,87,90,2.1
Cherskiy,68.75,289.5,58,34,5.18
Longyearbyen,78.22,278.15,80,75,4.1
Bredasdorp,-34.53,293.27,56,4,3.6
Sal Rei,16.18,299.74,65,75,8.2
Chokurdakh,70.62,284.7,58,3,2.36
Darnah,32.77,298.8,74,0,6.16
Mehamn,71.03,280.0,84,100,4.88
Thompson,55.74,287.15,82,40,1.5
Tuktoyaktuk,69.44,277.7,81,33,2.25
Gorontalo,0.54,296.8,80,20,3.35
Sao Joao da Barra,-21.64,294.63,60,0,6.2
Ornskoldsvik,63.29,293.34,42,62,4.6
Curup,-3.47,294.0,99,42,0.46
Yerbogachen,61.28,295.1,63,77,0.81
Bhaderwah,32.98,293.2,78,89,2.47
Churapcha,62.0,297.5,53,99,1.98
Cassilandia,-19.11,294.5,52,0,1.2
Grindavik,63.84,286.74,87,90,4.6
Adrar,27.87,320.15,3,0,8.7
Guerrero Negro,27.97,292.2,89,0,5.04
Kundiawa,-6.02,284.1,98,100,0.9
Xihe,34.02,292.7,61,94,1.81
Valleyview,55.07,285.3,67,100,3.38
Petropavlovsk-Kamchatskiy,53.05,282.15,100,75,0.48
Hakkari,61.34,291.25,39,32,4.6
Bibiani,6.45,299.3,79,99,1.71
Marawi,8.0,297.04,94,100,1.79
Princeton,38.36,293.5,88,1,1.64
Kropotkin,45.43,297.0,57,49,6.05
Junagarh,19.86,303.4,75,100,2.02
Bilibino,68.06,287.0,80,79,0.96
Jumla,29.28,289.4,86,13,2.61
Cuiluan,47.72,292.1,83,100,0.87
Barra do Bugres,-15.07,296.6,43,0,0.88
Souillac,45.6,301.82,37,0,3.6
Caravelas,-17.73,296.3,70,0,1.24
Fortuna,40.6,287.36,93,90,3.1
Nikolskoye,59.7,288.46,51,40,4.0
Geraldton,49.72,289.15,77,75,4.6
Chumikan,54.72,283.1,98,87,1.5
Coquimbo,-29.95,278.55,75,0,2.6
Ilulissat,69.22,282.15,66,20,3.1
Balabac,7.99,300.8,74,100,2.65
West Wendover,40.74,300.15,24,1,2.6
Coahuayana,18.62,293.5,96,63,1.17
Saint George,39.45,302.15,39,20,5.7
Luanda,-8.83,295.0,82,94,1.96
Portland,43.66,294.74,73,1,3.6
Omsukchan,62.53,288.8,61,67,0.49
Codrington,-28.95,286.16,50,66,4.6
Kavaratti,10.57,301.8,76,77,5.7
Toropets,56.5,290.8,47,22,1.77
Benghazi,32.12,300.8,60,0,5.34
Lorengau,-2.02,299.8,81,100,5.16
Kodiak,39.95,294.46,88,1,2.26
Doha,25.29,312.36,50,0,8.7
Mar del Plata,-46.43,278.7,74,100,4.1
Tabuk,17.41,292.1,98,62,0.51
Lata,30.78,281.8,93,100,3.51
Ahipara,-35.17,289.5,85,100,10.95
Tirlyanskiy,54.22,295.7,70,96,1.74
Bafra,41.57,298.15,50,40,3.6
Harper,30.3,293.16,88,1,0.84
Bonthe,7.53,298.2,88,100,5.67
Marzuq,14.4,309.5,9,76,5.19
Batemans Bay,-35.71,277.34,47,0,1.34
Vladikavkaz,43.02,294.15,68,75,2.0
Betare Oya,5.6,298.4,75,87,1.98
Port Lincoln,-34.72,285.8,67,77,7.06
Trujillo,9.37,296.1,64,88,0.78
Beroroha,-21.68,301.8,19,0,1.55
Luderitz,-26.65,295.15,46,0,5.1
Saint-Philippe,45.36,293.5,88,40,5.7
Oriximina,-1.77,299.2,77,17,3.35
Topolobampo,25.6,299.7,65,40,5.7
Mecca,21.43,316.4,9,0,9.7
Yangshan,31.68,282.5,97,99,1.86
Helena,46.59,285.93,82,1,1.37
Kontagora,10.4,302.3,64,86,3.46
Honiara,-9.43,297.15,100,40,1.5
Saskylakh,71.97,287.5,59,100,3.66
Nantucket,41.28,295.85,83,75,3.6
Clyde River,70.47,284.15,71,1,1.0
Siniscola,40.57,307.15,24,0,10.3
Palmares do Sul,-30.26,290.93,90,27,0.89
Xunchang,28.45,296.8,76,100,0.52
Moranbah,-22.0,289.6,55,38,3.94
Esperance,-33.86,283.15,81,75,2.6
Vestmannaeyjar,63.44,285.15,100,90,5.1
Constitucion,23.99,289.26,85,100,2.24
Pravdinsk,54.45,292.15,63,20,5.0
Bermeo,43.42,297.23,69,20,1.5
Isangel,-19.55,296.15,83,20,6.2
Kaupanger,61.18,295.15,33,0,7.7
Harrison,39.26,293.76,73,1,0.75
Lakes Entrance,-37.88,278.8,84,19,0.89
New Norfolk,-42.78,278.23,60,20,4.6
Maltahohe,-24.83,296.7,9,0,4.48
Tasiilaq,65.61,278.15,86,75,4.1
Katobu,-4.94,295.1,86,58,1.92
San Patricio,-26.98,292.4,78,98,1.58
Beringovskiy,63.05,290.3,68,100,2.4
Tawau,4.26,299.15,88,75,0.38
San Luis,-33.3,281.3,78,0,1.92
Donskoye,45.45,297.15,47,40,4.0
Huarmey,-10.07,290.0,87,100,6.27
Grand-Santi,4.27,296.2,93,87,1.03
Lebu,8.96,290.6,76,100,1.74
Elizabeth City,36.3,300.73,88,90,1.65
Meulaboh,4.14,302.4,74,100,3.65
Malakwal,32.55,312.7,40,59,6.21
Salina Cruz,16.18,297.1,91,100,1.65
Kahului,20.89,295.76,83,90,6.2
Nome,30.04,299.5,88,90,4.1
Sitka,37.17,292.04,88,0,3.82
Kirakira,-10.46,299.2,84,83,1.64
Athabasca,54.72,285.0,87,100,2.17
Miri,10.31,305.2,40,1,2.67
Hithadhoo,-0.6,302.3,76,23,5.84
Balkanabat,39.51,308.5,40,28,8.35
Namatanai,-3.66,298.5,79,85,1.25
Acapulco,16.86,298.15,83,90,2.6
Zemio,5.02,301.3,61,92,2.13
Biltine,14.53,308.3,28,51,3.97
Palizada,18.25,300.15,78,40,5.7
Comodoro Rivadavia,-45.87,281.15,68,0,4.6
Porbandar,21.64,301.4,83,78,8.96
Kaduqli,11.01,305.4,41,36,2.73
Nakusp,50.24,284.82,97,78,0.39
Akdepe,42.05,315.15,9,0,5.1
Vershino-Shakhtaminskiy,51.3,292.7,62,89,5.38
Praia,-20.25,290.74,56,0,1.0
Itaituba,-4.26,301.15,78,96,1.11
Norman Wells,65.28,276.15,93,40,1.5
Anadyr,64.73,284.99,81,0,2.0
Bedele,8.46,292.3,91,98,2.23
Saint-Augustin,45.63,293.08,100,90,3.1
Flin Flon,54.77,288.15,87,20,1.5
Severo-Kurilsk,50.68,280.1,95,100,8.86
Vardo,39.62,295.93,61,1,2.6
Tessalit,20.2,315.5,12,19,8.44
Nanma,35.7,297.2,45,46,2.83
Pacific Grove,36.62,286.0,87,90,1.5
Vila Franca do Campo,37.72,295.15,83,20,5.7
Talara,-4.58,290.15,290,0,8.7
Inuvik,68.36,280.15,87,20,3.1
Kysyl-Syr,63.9,297.3,61,11,1.16
Te Anau,-45.41,280.9,98,100,2.5
Boende,-0.28,304.1,54,86,1.8
